"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__Tenacibaculum_litopenaei"	"hpf"	"hpf"	"hpf"	164.012026907032	0	3.00777311021033	0	0	0	0	NA	"prevalence"	63	55
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__Tenacibaculum_litopenaei"	"leachate_mgL"	"hpf"	"leachate_mgL:hpf"	256.222284381474	0	4.59500712447527	0	0	0	0	NA	"prevalence"	63	55
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__Tenacibaculum_litopenaei"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	321.344472853785	0	5.78036186817945	0	0	0	0	NA	"prevalence"	63	55
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;__"	"leachate_mgL"	"hpf"	"leachate_mgL:hpf"	2601.85470270976	0	102.085266559729	2.74206568701206e-143	1.96098625630535e-140	2.74206568701206e-143	1.3581978060349e-140	NA	"prevalence"	63	4
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;__"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	-3062.4062310819	0	120.184168669882	3.20632154399174e-143	1.96098625630535e-140	3.20632154399174e-143	1.3581978060349e-140	NA	"prevalence"	63	4
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;__"	"hpf"	"hpf"	"hpf"	1650.24907508474	0	64.7898501280287	4.15402085459167e-143	2.11716596222355e-140	4.15402085459167e-143	1.46636936167086e-140	NA	"prevalence"	63	4
"d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Rubrivirga;s__uncultured_Bacteroidetes"	"hpf"	"hpf"	"hpf"	-619.315513675471	0	92.2425440730734	1.89373360690208e-11	6.86068186507642e-09	3.78746721376829e-11	9.50354754093208e-09	NA	"prevalence"	63	5
"d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Rubrivirga;s__uncultured_Bacteroidetes"	"leachate_mgL"	"hpf"	"leachate_mgL:hpf"	-974.847574674188	0	145.337493814807	1.9802116679328e-11	6.86068186507642e-09	1.9802116679328e-11	5.99155473240238e-09	NA	"prevalence"	63	5
"d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Rubrivirga;s__uncultured_Bacteroidetes"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	-1222.43387221581	0	182.326809052262	2.01916732458103e-11	6.86068186507642e-09	4.03833464912128e-11	9.50354754093208e-09	NA	"prevalence"	63	5
"d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomarina;s__uncultured_archaeon"	"hpf"	"hpf"	"hpf"	-627.29171629301	0	98.9850546744636	2.33922560727923e-10	6.29691689979951e-08	4.67845121401125e-10	8.71137839376719e-08	NA	"prevalence"	63	5
"d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomarina;s__uncultured_archaeon"	"leachate_mgL"	"hpf"	"leachate_mgL:hpf"	-987.041529884787	0	155.960671607131	2.47099420528431e-10	6.29691689979951e-08	2.47099420528431e-10	5.23356572679216e-08	NA	"prevalence"	63	5
"d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomarina;s__uncultured_archaeon"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	-1238.2883540313	0	195.653587188269	2.46781257644252e-10	6.29691689979951e-08	4.93562515227603e-10	8.71137839376719e-08	NA	"prevalence"	63	5
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	-1.27883893792398	0	0.310656899766875	3.84562963753266e-05	0.00839995387969633	7.69111138639222e-05	0.0116355527974134	NA	"prevalence"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Aestuariicella;s__uncultured_bacterium"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	-1.27883893792398	0	0.310656899766875	3.84562963753266e-05	0.00839995387969633	7.69111138639222e-05	0.0116355527974134	NA	"prevalence"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.64138523943436	-0.348487541232923	0.163498100062198	0.000112362701992026	0.0197730060305861	0.000112362701992026	0.0136949727837742	NA	"abundance"	63	60
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group;__"	"hpf"	"hpf"	"hpf"	-223.345547633002	0	57.9574522817408	0.000116387870683633	0.0197730060305861	0.000116387870683633	0.0136949727837742	NA	"prevalence"	63	4
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group;__"	"leachate_mgL"	"hpf"	"leachate_mgL:hpf"	-352.571735455446	0	91.3164074867374	0.000112928529313859	0.0197730060305861	0.000112928529313859	0.0136949727837742	NA	"prevalence"	63	4
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group;__"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	-441.846778736771	0	114.55618814766	0.000114772571066098	0.0197730060305861	0.000114772571066098	0.0136949727837742	NA	"prevalence"	63	4
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter;__"	"hpf"	"hpf"	"hpf"	-1.59870439147214	0	0.427019325627956	0.000181208196665488	0.0291649823896349	0.000362383556920438	0.0383764186778744	NA	"prevalence"	63	37
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_montiporae"	"hpf"	"hpf"	"hpf"	2.43890272546347	0	0.667911185394456	0.000260675048160641	0.039857214863762	0.000521282144840547	0.0525750277510609	NA	"prevalence"	63	38
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.49252280748281	-0.348487541232923	0.159143287474212	0.000285599182246826	0.0415886809195615	0.000285599182246826	0.0318367930525672	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum;__"	"hpf"	"hpf"	"hpf"	-1.36101658203748	0	0.377154276697931	0.000307798300579758	0.0427839637805863	0.000615501861365676	0.0591072665617287	NA	"prevalence"	63	42
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	2.72133105815814	0	0.77743494658018	0.000464565497271519	0.0617670126372307	0.000928915173441784	0.0786976934939879	NA	"prevalence"	63	39
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_montiporae"	"hpf"	"hpf"	"hpf"	1.68102291424526	-0.348487541232923	0.288404483064745	0.000567191920879976	0.0693789157620386	0.000521282144840547	0.0525750277510609	NA	"abundance"	63	38
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"hpf"	"hpf"	"hpf"	1.35075181224289	-0.348487541232923	0.137824603706335	0.000641863612332276	0.0754930356350808	0.000641863612332276	0.0591072665617287	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__"	"hpf"	"hpf"	"hpf"	1.54188107242867	-0.348487541232923	0.272544120643491	0.000785482859576374	0.083533280674012	0.000785482859576374	0.069318862357615	NA	"abundance"	63	51
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium"	"leachate_mgL"	"hpf"	"leachate_mgL:hpf"	0.390039018563438	0	0.116238191591424	0.000792173034514829	0.083533280674012	0.00158371853091305	0.119796994588351	NA	"prevalence"	63	61
